epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,5392.17,0.77586,0.45871,0.99028,0.9433,0.93661,0.97493,0.71407,0.8572,0.47085,1.09008,0.005446,0.005446,0.005446
94,5667.56,0.77217,0.45572,0.9879,0.94806,0.93456,0.97489,0.7155,0.85783,0.46899,1.09094,0.0053965,0.0053965,0.0053965
95,5941.56,0.7698,0.45386,0.98654,0.94524,0.93747,0.9755,0.71496,0.85669,0.46709,1.0917,0.005347,0.005347,0.005347
96,6217.3,0.77182,0.455,0.98705,0.94539,0.93662,0.97531,0.71483,0.85782,0.46695,1.09147,0.0052975,0.0052975,0.0052975
97,6492,0.77386,0.45849,0.98839,0.94353,0.9382,0.97598,0.71471,0.85714,0.46535,1.09141,0.005248,0.005248,0.005248
98,6763.81,0.77079,0.45066,0.98525,0.9479,0.93325,0.97494,0.71574,0.85636,0.46588,1.09141,0.0051985,0.0051985,0.0051985
99,7039.77,0.76602,0.45507,0.98728,0.94439,0.93596,0.97519,0.71535,0.85396,0.46442,1.09061,0.005149,0.005149,0.005149
100,7311.24,0.76579,0.45423,0.98489,0.94527,0.93573,0.97412,0.71691,0.85225,0.46373,1.09036,0.0050995,0.0050995,0.0050995
101,7584.39,0.76797,0.45095,0.98383,0.94437,0.93822,0.9734,0.71694,0.8532,0.46397,1.09167,0.00505,0.00505,0.00505
102,7859.9,0.76515,0.45044,0.98464,0.94595,0.93499,0.97406,0.71709,0.85206,0.46465,1.09105,0.0050005,0.0050005,0.0050005
103,8134.79,0.76268,0.4486,0.98103,0.94688,0.93381,0.97354,0.71773,0.8519,0.46412,1.09091,0.004951,0.004951,0.004951
104,8406.74,0.75914,0.45175,0.98279,0.94671,0.93676,0.97386,0.71775,0.85052,0.46311,1.09101,0.0049015,0.0049015,0.0049015
105,8683.37,0.75038,0.44384,0.98172,0.94583,0.93692,0.97417,0.718,0.85095,0.46362,1.09248,0.004852,0.004852,0.004852
106,8953.66,0.75177,0.44326,0.9789,0.9456,0.93745,0.97437,0.71838,0.84944,0.46346,1.09074,0.0048025,0.0048025,0.0048025
107,9229.23,0.75018,0.44405,0.97833,0.94441,0.93961,0.97602,0.71815,0.84893,0.46296,1.09082,0.004753,0.004753,0.004753
108,9502.14,0.75265,0.44679,0.98072,0.94287,0.94078,0.97634,0.7184,0.84842,0.46243,1.09108,0.0047035,0.0047035,0.0047035
109,9775.99,0.75006,0.44483,0.97868,0.94482,0.94051,0.97528,0.71858,0.84802,0.46236,1.09175,0.004654,0.004654,0.004654
